Last login: Wed Jul 29 20:42:45 on ttys002
/Users/admin/.zprofile:1: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/.zprofile:2: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
admin@MacBook-Air-4 ~ % /Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
2026-07-29 21:00:00.107 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-6.15, dy=29.08
2026-07-29 21:00:00.123 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-10.15, dy=31.52
2026-07-29 21:00:00.140 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-8.05, dy=32.87
2026-07-29 21:00:00.157 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-10.72, dy=37.73
2026-07-29 21:00:00.174 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-12.83, dy=35.53
2026-07-29 21:00:00.191 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-12.69, dy=35.53
2026-07-29 21:00:00.207 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-9.06, dy=29.86
2026-07-29 21:00:00.223 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-9.12, dy=22.38
2026-07-29 21:00:00.241 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-9.87, dy=16.13
2026-07-29 21:00:00.558 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-5.81, dy=34.87
2026-07-29 21:00:00.573 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-11.21, dy=41.8
2026-07-29 21:00:00.590 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-13.38, dy=48.61
2026-07-29 21:00:00.608 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-18.62, dy=52.02
2026-07-29 21:00:00.624 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-20.31, dy=49.06
2026-07-29 21:00:00.642 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-19.02, dy=45.65
2026-07-29 21:00:00.658 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-16.16, dy=42.35
2026-07-29 21:00:00.673 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-14.52, dy=38.74
2026-07-29 21:00:00.690 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-13.1, dy=34.99
2026-07-29 21:00:00.706 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-13.11, dy=36.31
2026-07-29 21:00:00.723 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-12.67, dy=33.6
2026-07-29 21:00:00.740 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-15.54, dy=31.5
2026-07-29 21:00:00.756 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-11.04, dy=20.51
2026-07-29 21:00:00.941 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=1.68, dy=-13.42
